Дата;КапиталСтратегия;Капитал_Лонг400АкцийSPY
30.03.2017;100000;99999,81
31.03.2017;100000;99790,044
03.04.2017;100039,093;99633,672
04.04.2017;100024,7924;99690,8744
05.04.2017;100091,539;99423,888
06.04.2017;100091,539;99675,6276
07.04.2017;100091,539;99584,0812
10.04.2017;100078,1876;99637,4868
11.04.2017;100131,5934;99530,6752
12.04.2017;100328,0136;99137,8348
13.04.2017;100472,9523;98558,08
17.04.2017;100472,9523;99343,804
18.04.2017;100406,2027;99076,8056
19.04.2017;100324,2019;98912,804
20.04.2017;100867,714;99637,4868
21.04.2017;100581,6484;99351,4212
24.04.2017;101811,7049;100335,4664
25.04.2017;102601,2287;100861,8156
26.04.2017;102501,114;100804,6072
27.04.2017;102653,6532;100880,8768
28.04.2017;102207,4161;100682,5492
01.05.2017;102779,5131;100911,388
02.05.2017;102873,9613;100945,7328
03.05.2017;102542,0641;100835,1004
04.05.2017;102889,181;100941,9056
05.05.2017;104144,0668;101300,4444
08.05.2017;104086,8238;101285,1796
09.05.2017;103751,2286;101201,2808
10.05.2017;104448,1827;101365,27
11.05.2017;103607,2065;101178,3864
12.05.2017;102882,5294;101025,8228
15.05.2017;105399,8034;101529,2776
16.05.2017;104959,3011;101445,3724
17.05.2017;96022,8087;99820,5556
18.05.2017;98106,3074;100182,9032
19.05.2017;101630,5754;100770,2812
22.05.2017;104514,9054;101231,774
23.05.2017;105828,9896;101433,9408
24.05.2017;107270,6546;101647,5208
25.05.2017;110341,017;102086,144
26.05.2017;110202,7798;102067,0768
30.05.2017;109602,0568;101986,9804
31.05.2017;109424,6717;101964,092
01.06.2017;115466,1962;102696,398
02.06.2017;118092,2508;103005,3456
05.06.2017;117491,5423;102936,6932
06.06.2017;114888,3333;102639,1836
07.06.2017;116433,1761;102810,8328
08.06.2017;116867,8771;102856,5908
09.06.2017;115456,5611;102715,4592
12.06.2017;115261,1838;102696,398
13.06.2017;119913,5358;103150,286
14.06.2017;118701,4774;103032,0364
15.06.2017;116953,7509;102852,7824
16.06.2017;117146,7187;102873,0948
19.06.2017;124501,7973;103647,3136
20.06.2017;118652,0085;103014,904
21.06.2017;118439,2178;102991,8996
22.06.2017;118049,3229;102949,7488
23.06.2017;119049,7377;103060,906
26.06.2017;119586,2527;103122,222
27.06.2017;113013,1792;102371,0136
28.06.2017;120257,0277;103198,882
29.06.2017;113080,3092;102378,6856
30.06.2017;114589,3937;102551,1524
03.07.2017;115964,3267;102708,2876
05.07.2017;117842,4477;102922,93
06.07.2017;110397,2582;102072,0512
07.07.2017;115628,9917;102669,9636
10.07.2017;116500,8417;102769,6036
11.07.2017;115897,2492;102700,6216
12.07.2017;122000,9412;103398,1864
13.07.2017;123375,8707;103555,3212
14.07.2017;127198,9242;103992,2416
17.07.2017;127098,4672;103980,7608
18.07.2017;127534,3642;104030,5776
19.07.2017;131994,7082;104540,3312
20.07.2017;132363,5802;104582,488
21.07.2017;131625,8327;104498,174
24.07.2017;131424,6527;104475,182
25.07.2017;133436,7677;104705,138
