Date,Return_1,Return_2,Return_3,Return_5,Return_10,Return_20,Return_40,Return_60,Return_120,Return_250,AverageVolume_1,AverageVolume_2,AverageVolume_3,AverageVolume_5,AverageVolume_10,AverageVolume_20,AverageVolume_40,AverageVolume_60,AverageVolume_120,AverageVolume_250,DayOfWeek,DayOfMonth
2011-01-03,-0.005190318590035159,0.0070787492306703115,0.0021058237256497137,0.02207077404619251,0.028315969336422553,-0.000507039881587068,0.014482106994649024,0.05852577504509382,0.16652575232817202,0.23755714756421575,11510200.0,10365000.0,8826466.666666666,9006700.0,8784920.0,13305395.0,16190550.0,16528931.666666666,14394106.666666666,15763038.0,0,3
2011-01-04,-0.023550724637681153,-0.028618807463820617,-0.01663868508092159,-0.018000298659085368,-0.0026645029778366025,-0.03134211033468404,-0.011951935329522878,0.02346951166733957,0.13972762057698684,0.21593575166937384,26154300.0,18832250.0,15628100.0,12215200.0,10086120.0,13831070.0,16335845.0,16653281.666666666,14540501.666666666,15813216.0,1,4
2011-01-05,-0.0028200742115028765,-0.026304384057971086,-0.03135817451443079,-0.024253952728359285,-0.007020484413661099,-0.015604432234432308,-0.02474963002431152,0.01572304868139196,0.15170992803136918,0.20651873377429997,16700900.0,21427600.0,18121800.0,13866920.0,10732650.0,13341595.0,16319182.5,16754608.333333334,14533889.166666666,15816441.2,2,5
2011-01-06,-0.0040187022407791595,-0.006827443413729095,-0.0302173768115942,-0.023352528813781803,-0.009033698429462445,-0.007122123672786085,-0.012980264414197529,0.014170922255255736,0.1563985010870519,0.18591053940470603,15965300.0,16333100.0,19606833.333333332,15910100.0,11599120.0,12965695.0,15732185.0,16799210.0,14535900.833333334,15811290.4,3,6
2011-01-07,-0.0018680415173273346,-0.005879236655474962,-0.008682730983302411,-0.037053049040851604,-0.00802021363373795,-0.0132229671723042,-0.026668630622681655,-0.003654844293399573,0.14513501680008556,0.20897822805644362,16761400.0,16363350.0,16475866.666666666,17418420.0,12405180.0,13095885.0,15439102.5,16771925.0,14598386.666666666,15761605.6,4,7
2011-01-10,0.004042468871949811,0.0021668758549371336,-0.0018605344146958025,-0.028115978260869645,-0.006665745617960517,-0.009526689032518076,-0.025715595649699607,-0.004675361781076193,0.15770390431944592,0.202438531446669,8429900.0,12595650.0,13718866.666666666,16802360.0,12904530.0,12920485.0,15263662.5,16464248.333333334,14590334.166666666,15715269.2,0,10
2011-01-11,0.005890314863194135,0.009956595149624325,0.008069954299186222,0.0011874137291281173,-0.016834258731713514,-0.008379264791342877,0.009125603872756516,0.009201159967146433,0.15445835055229895,0.20423105600491898,10268400.0,9349150.0,11819900.0,13625180.0,12920190.0,12766285.0,14623225.0,16199245.0,14607895.833333334,15683121.6,1,11
2011-01-12,0.004076814051536148,0.0099911426331325,0.014074000388171859,0.00811201935372563,-0.01633868190857035,-0.005287017454906007,0.022957325524200822,0.008787667625764772,0.1668534039746199,0.22190154950476693,10785100.0,10526750.0,9827800.0,12442020.0,13154470.0,12434000.0,14515432.5,16174171.666666666,14628296.666666666,15654251.2,2,12
2011-01-13,-0.010409005810844363,-0.006374627340460348,-0.000521861039436966,0.0016438840074139982,-0.0217470336550174,-0.004825493797152691,0.023516851007735706,0.0302820841573892,0.1604051807584448,0.20202660156097396,14294600.0,12539850.0,11782700.0,12107880.0,14008990.0,12394255.0,14060845.0,15990295.0,14653926.666666666,15669556.8,3,13
2011-01-14,-0.010145475341764909,-0.020448876840823083,-0.016455429057729676,-0.00666267395324649,-0.04346885060936534,-0.00837004720678658,0.017717417636239352,0.010432492590409126,0.16897189377196908,0.21800990971158596,21224900.0,17759750.0,15434866.666666666,13000580.0,15209500.0,12282350.0,14180665.0,16134766.666666666,14584760.833333334,15684316.4,4,14
2011-01-18,0.005576840672592676,-0.004625214368701003,-0.014986076296305106,-0.005144661688959884,-0.0331159927536232,-0.005737734852557463,0.010144575975307157,0.030586174167095193,0.17270165382933422,0.24271201706122714,11592900.0,16408900.0,15704133.333333334,13633180.0,15217770.0,12001345.0,14070252.5,15964578.333333334,14547439.166666666,15627694.4,1,18
2011-01-19,0.0021734843379628277,0.0077624461864127525,-0.0024617828617281567,-0.008820717253851806,-0.007643777365491711,-0.010287913475776067,0.011497761229147363,0.03075622541451395,0.17000612328282316,0.2477372725153919,11788100.0,11690500.0,14868633.333333334,13937120.0,13781150.0,11933635.0,14011295.0,15962958.333333334,14566704.166666666,15578006.4,2,19
2011-01-20,-0.01884537826170074,-0.01671285405823264,-0.011229218309906974,-0.031448470248492066,-0.02359156149406716,-0.03044642171796519,-0.017081203688378954,0.0026747495907641916,0.13602908712493011,0.22069215982437207,24362900.0,18075500.0,15914633.333333334,16652680.0,14547350.0,12640000.0,14293032.5,16166425.0,14685618.333333334,15622656.0,3,20
2011-01-21,-0.001295716493042276,-0.020116676487311635,-0.017986915430625805,-0.02252893645962839,-0.02092208741056434,-0.029766782011844906,-0.02514697492308693,0.001146042132256886,0.13406610581559542,0.21820380658616245,19488400.0,21925650.0,18546466.666666668,17691440.0,14899660.0,13249390.0,14324862.5,16312716.666666666,14777410.0,15651421.2,4,21
2011-01-24,-0.005113317599887868,-0.006402408682981808,-0.025127131131265745,-0.017559732948078333,-0.024105412125985715,-0.03193229520474394,-0.02846916231393737,0.00648546150446383,0.12389001851694159,0.22369287734622056,15127200.0,17307800.0,19659500.0,16471900.0,14736240.0,13570710.0,14481590.0,16295968.333333334,14856975.0,15635909.6,0,24
