Date,Return_1,Return_2,Return_3,Return_5,Return_10,Return_20,Return_40,Return_60,Return_120,Return_250,AverageVolume_1,AverageVolume_2,AverageVolume_3,AverageVolume_5,AverageVolume_10,AverageVolume_20,AverageVolume_40,AverageVolume_60,AverageVolume_120,AverageVolume_250,DayOfWeek,DayOfMonth
2011-01-03,0.017382408879193845,0.010665205348680873,0.008744258943993444,0.008105314210123726,0.024870683114679437,0.05669900707491182,0.08997290962626114,0.16884093331755712,0.2531078639224582,0.26570455549414795,48878000.0,41100750.0,40066300.0,32833120.0,30784730.0,39859840.0,42834157.5,45848161.666666664,53917712.5,63725710.4,0,3
2011-01-04,-0.014824078946420127,0.0023006517312695873,-0.0043169754438078245,-0.004064030617245029,0.005681821734784265,0.03460838532909993,0.06784750941436912,0.1370535711496439,0.24602373513144404,0.23780892343678595,77509000.0,63193500.0,53236833.333333336,43169340.0,34266360.0,41926415.0,43630405.0,46140758.333333336,53971587.5,63811252.4,1,4
2011-01-05,0.011731831352903788,-0.003266161187677974,0.014059473942286349,0.0054495375971377324,0.006303590308598617,0.040731782096887326,0.08125461008263057,0.1493980808207338,0.3083264139682891,0.24553684176459134,47145300.0,62327150.0,57844100.0,48970640.0,35964210.0,40945225.0,44017620.0,46304081.666666664,53546735.833333336,63804587.6,2,5
2011-01-06,-0.00466335425717701,0.0070137674100425595,-0.007914284178175746,0.00266651370455695,0.0019031759008663052,0.036555458884573344,0.09071304137218594,0.1410760160987341,0.29670482600129544,0.2447445036616933,39392300.0,43268800.0,54682200.0,49249620.0,36922210.0,40895400.0,43791462.5,46108956.666666664,53342675.0,63755601.2,3,6
2011-01-07,-0.0056985672321514524,-0.010335347051566579,0.0012752317527544577,0.0035788173481636765,-0.002540829606565209,0.027158727443634012,0.0725529863709089,0.1175335737169243,0.26801954022232843,0.25128179495530945,59486800.0,49439550.0,48674800.0,54482280.0,40346930.0,41400540.0,43936942.5,46124033.333333336,53243142.5,63810128.8,4,7
2011-01-10,0.005731227014617035,0.0,-0.00466335425717701,-0.007914284178175746,0.00012688227193558,0.02029092284460976,0.08297065357063871,0.12473564429725958,0.29861005338971514,0.2424244516457401,55020300.0,57253550.0,51299800.0,55710740.0,44271930.0,41986405.0,44237715.0,45868003.333333336,53131173.333333336,63872202.4,0,10
2011-01-11,0.004052193218203826,0.00980664427206146,0.004052193218203826,0.011094381768979478,0.006985263244545958,0.029722677148176224,0.10577603502704602,0.13314892557852742,0.25905327127652567,0.242825667567363,42124300.0,48572300.0,52210466.666666664,48633800.0,45901570.0,41941340.0,44070842.5,45320850.0,52807203.333333336,63873260.4,1,11
2011-01-12,0.008575893759417363,0.012662838156153322,0.018466638770892496,0.007940432598752656,0.01343324188187478,0.03909050357778354,0.11510413286828025,0.13335338229670968,0.2393647975096771,0.27198700390799413,38442600.0,40283450.0,45195733.333333336,46893260.0,47931950.0,40863435.0,44058842.5,45297535.0,52511585.0,63752130.4,2,12
2011-01-13,-0.0003748609160505456,0.008197818075976304,0.012283230436991754,0.012283230436991754,0.014982497543845064,0.041935698850299685,0.13677810912974486,0.15542461769308336,0.21131135198406703,0.2485704550068739,29687600.0,34065100.0,36751500.0,44952320.0,47100970.0,39747695.0,43051892.5,44715201.666666664,52206912.5,63683524.8,3,13
2011-01-14,0.007505391816694962,0.007127717422592772,0.01576473772937348,0.025725981176389245,0.029396867112285507,0.0401733172636336,0.14223759554936466,0.1523243305246187,0.2248254694680536,0.2764434379280998,38036700.0,33862150.0,35388966.666666664,40662300.0,47572290.0,38752725.0,43014997.5,44447166.666666664,51822825.833333336,63585731.6,4,14
2011-01-18,0.0007446270400861543,0.008255607574474189,0.007877651953805742,0.020640243541700576,0.012562606610629024,0.03774573033341566,0.12124230907527966,0.1587937662968788,0.24586882901884155,0.29873119476365684,37824100.0,37930400.0,35182800.0,37223060.0,46466900.0,38625815.0,42644632.5,44035813.333333336,51640484.166666664,63343735.6,1,18
2011-01-19,-0.025682089763590432,-0.02495658630198816,-0.017638503443896725,-0.009585282610286017,0.001402756374051517,0.007092548320490444,0.08882789941467184,0.121808917152467,0.21704786249938612,0.28854055549209723,70707400.0,54265750.0,48856066.666666664,42939680.0,45786740.0,40026550.0,43591560.0,44776473.333333336,51702925.833333336,63291537.2,2,19
2011-01-20,-0.010441619966279791,-0.035855547108618824,-0.03513761907844681,-0.02826035267554805,-0.020544319502432407,-0.014370232167146058,0.07227836186940362,0.10350433267135162,0.2035990979343827,0.27364166562665915,79653000.0,75180200.0,62728166.666666664,51181760.0,49037510.0,42500860.0,44528807.5,45502425.0,51804592.5,63360954.4,3,20
2011-01-21,-0.006691646295172604,-0.017063394633889395,-0.04230726076482072,-0.034400925332771726,-0.02254024938888821,-0.020679971547458265,0.07529531262588063,0.09689519366273158,0.17512227887668308,0.27773105652820296,56676500.0,68164750.0,69012300.0,56579540.0,50765930.0,43844070.0,44640662.5,45815631.666666664,51861091.666666664,63354807.6,4,21
