Date,Return_1,Return_2,Return_3,Return_5,Return_10,Return_20,Return_40,Return_60,Return_120,Return_250,AverageVolume_1,AverageVolume_2,AverageVolume_3,AverageVolume_5,AverageVolume_10,AverageVolume_20,AverageVolume_40,AverageVolume_60,AverageVolume_120,AverageVolume_250,DayOfWeek,DayOfMonth
2017-01-03,,,,,,,,,,,91366500.0,,,,,,,,,,1,3
2017-01-04,0.00594916569491688,,,,,,,,,,78744400.0,85055450.0,,,,,,,,,2,4
2017-01-05,-0.0007945891476511813,0.005149849404766815,,,,,,,,,78379000.0,78561700.0,82829966.66666667,,,,,,,,3,5
2017-01-06,0.003577871179256231,0.0027804390939942802,0.008746146081785922,,,,,,,,71559900.0,74969450.0,76227766.66666667,,,,,,,,4,6
2017-01-09,-0.003300847925488015,0.00026521324510864197,-0.0005295866381090919,,,,,,,,46939700.0,59249800.0,65626200.0,73397900.0,,,,,,,0,9
2017-01-10,0.0,-0.003300847925488015,0.00026521324510864197,0.005416428458147937,,,,,,,63771900.0,55355800.0,60757166.666666664,67878980.0,,,,,,,1,10
2017-01-11,0.0028259865667057404,0.0028259865667057404,-0.00048418951067852323,0.0022949033238715,,,,,,,74650000.0,69210950.0,61787200.0,67060100.0,,,,,,,2,11
2017-01-12,-0.002509816259101849,0.00030907760057075073,0.00030907760057075073,0.0005743728171525575,,,,,,,72113200.0,73381600.0,70178366.66666667,65806940.0,,,,,,,3,12
2017-01-13,0.0022954796037635283,-0.00022009788737031855,0.0026052666856621887,-0.00070418082896051,,,,,,,62717900.0,67415550.0,69827033.33333333,64038540.0,,,,,,,4,13
2017-01-17,-0.00352345947001953,-0.0012360678956040427,-0.0037427818514041977,-0.0009273723359327635,,,,,,,61240800.0,61979350.0,65357300.0,66898760.0,70148330.0,,,,,,1,17
2017-01-18,0.002209950579706188,-0.0013212955616116462,0.0009711510351397834,0.0012805287967421197,0.006703893147506079,,,,,,54793300.0,58017050.0,59584000.0,65103040.0,66491010.0,,,,,,2,18
2017-01-19,-0.0037045455674025174,-0.0015027818503206003,-0.0050209463293982015,-0.005239939117088754,-0.0029570609469140585,,,,,,66608800.0,60701050.0,60880966.666666664,63494800.0,65277450.0,,,,,,3,19
2017-01-20,0.0036740688018279677,-4.4087520868707486e-05,0.0021657656275952952,0.0009270206986293772,0.0015019259712722999,,,,,,129168600.0,97888700.0,83523566.66666667,74905880.0,70356410.0,,,,,,4,20
